#       P [bar]       C/O       [O]       [C]
     1.0000E+03     0.754    -0.137     0.000
     3.8312E+02     0.780    -0.152     0.000
     1.4678E+02     0.790    -0.157     0.000
     5.6234E+01     0.792    -0.159     0.000
     2.1544E+01     0.794    -0.159     0.000
     8.2540E+00     0.795    -0.160     0.000
     3.1623E+00     0.796    -0.160     0.000
     1.2115E+00     0.796    -0.160     0.000
     4.6416E-01     0.796    -0.160     0.000
     1.7783E-01     0.796    -0.161     0.000
     6.8129E-02     0.797    -0.161     0.000
     2.6102E-02     0.798    -0.161     0.000
     1.0000E-02     0.800    -0.163     0.000
     3.8312E-03     0.802    -0.164     0.000
     1.4678E-03     0.804    -0.165     0.000
     5.6234E-04     0.805    -0.165     0.000
     2.1544E-04     0.805    -0.165     0.000
     8.2540E-05     0.805    -0.165     0.000
     3.1623E-05     0.805    -0.165     0.000
     1.2115E-05     0.805    -0.165     0.000
     4.6416E-06     0.805    -0.165     0.000
     1.7783E-06     0.805    -0.165     0.000
     6.8129E-07     0.805    -0.165     0.000
     2.6102E-07     0.805    -0.165     0.000
     1.0000E-07     0.804    -0.165     0.000
