#            P[bar]TiO2                   VO                     Al2O3                  SiO2                   Mg1.2SiO3.2            H2O                    Fe                     FeS                    C                      SiC                                   T[K]
     1.0000000E+003         2.2736278E+003         2.1228237E+003         2.5396720E+003         3.2171790E+003         2.7073650E+003         2.8595834E+002         2.7040361E+003         2.5709823E+003         1.2301275E+002         1.0277970E+002
     9.0851758E+002         2.2670421E+003         2.1170930E+003         2.5314286E+003         3.2022551E+003         2.6967839E+003         2.8470363E+002         2.6887575E+003         2.5572061E+003         1.2301275E+002         1.0277970E+002
     8.2540419E+002         2.2604950E+003         2.1113935E+003         2.5232395E+003         3.1874723E+003         2.6862869E+003         2.8346013E+002         2.6736555E+003         2.5435808E+003         1.2301275E+002         1.0277970E+002
     7.4989421E+002         2.2539861E+003         2.1057251E+003         2.5151040E+003         3.1728286E+003         2.6758729E+003         2.8222769E+002         2.6587271E+003         2.5301039E+003         1.2301275E+002         1.0277970E+002
     6.8129207E+002         2.2475152E+003         2.1000875E+003         2.5070218E+003         3.1583220E+003         2.6655409E+003         2.8100616E+002         2.6439693E+003         2.5167730E+003         1.2301275E+002         1.0277970E+002
     6.1896582E+002         2.2410819E+003         2.0944804E+003         2.4989921E+003         3.1439506E+003         2.6552900E+003         2.7979539E+002         2.6293790E+003         2.5035855E+003         1.2301275E+002         1.0277970E+002
     5.6234133E+002         2.2346858E+003         2.0889035E+003         2.4910146E+003         3.1297124E+003         2.6451192E+003         2.7859524E+002         2.6149534E+003         2.4905393E+003         1.2301275E+002         1.0277970E+002
     5.1089698E+002         2.2283267E+003         2.0833567E+003         2.4830887E+003         3.1156056E+003         2.6350276E+003         2.7740557E+002         2.6006898E+003         2.4776320E+003         1.2301275E+002         1.0277970E+002
     4.6415888E+002         2.2220043E+003         2.0778397E+003         2.4752139E+003         3.1016284E+003         2.6250142E+003         2.7622624E+002         2.5865852E+003         2.4648613E+003         1.2301275E+002         1.0277970E+002
     4.2169650E+002         2.2157181E+003         2.0723522E+003         2.4673897E+003         3.0877789E+003         2.6150781E+003         2.7505712E+002         2.5726370E+003         2.4522251E+003         1.2301275E+002         1.0277970E+002
     3.8311868E+002         2.2094679E+003         2.0668940E+003         2.4596156E+003         3.0740554E+003         2.6052184E+003         2.7389807E+002         2.5588426E+003         2.4397212E+003         1.2301275E+002         1.0277970E+002
     3.4807006E+002         2.2032527E+003         2.0614643E+003         2.4518904E+003         3.0604546E+003         2.5954331E+003         2.7274883E+002         2.5451980E+003         2.4273461E+003         1.2301275E+002         1.0277970E+002
     3.1622777E+002         2.1970729E+003         2.0560635E+003         2.4442142E+003         3.0469764E+003         2.5857225E+003         2.7160940E+002         2.5317021E+003         2.4150992E+003         1.2301275E+002         1.0277970E+002
     2.8729848E+002         2.1909281E+003         2.0506912E+003         2.4365868E+003         3.0336191E+003         2.5760858E+003         2.7047966E+002         2.5183524E+003         2.4029785E+003         1.2301275E+002         1.0277970E+002
     2.6101572E+002         2.1848182E+003         2.0453473E+003         2.4290076E+003         3.0203810E+003         2.5665219E+003         2.6935948E+002         2.5051466E+003         2.3909820E+003         1.2301275E+002         1.0277970E+002
     2.3713737E+002         2.1787427E+003         2.0400316E+003         2.4214762E+003         3.0072606E+003         2.5570302E+003         2.6824873E+002         2.4920823E+003         2.3791077E+003         1.2301275E+002         1.0277970E+002
     2.1544347E+002         2.1727013E+003         2.0347438E+003         2.4139920E+003         2.9942562E+003         2.5476097E+003         2.6714730E+002         2.4791572E+003         2.3673538E+003         1.2301275E+002         1.0277970E+002
     1.9573418E+002         2.1666939E+003         2.0294838E+003         2.4065547E+003         2.9813662E+003         2.5382597E+003         2.6605508E+002         2.4663690E+003         2.3557184E+003         1.2301275E+002         1.0277970E+002
     1.7782794E+002         2.1607201E+003         2.0242512E+003         2.3991639E+003         2.9685893E+003         2.5289794E+003         2.6497193E+002         2.4537156E+003         2.3441997E+003         1.2301275E+002         1.0277970E+002
