#     P [bar]  dens [g/cm^3]       Eq. dens       gas dens
    1.000E+03     3.807E-006     0.000E+000     1.571E-002
    3.831E+02     5.596E-007     0.000E+000     6.020E-003
    1.468E+02     1.145E-008     0.000E+000     2.306E-003
    5.623E+01     1.854E-009     0.000E+000     8.831E-004
    2.154E+01     3.850E-010     0.000E+000     3.382E-004
    8.254E+00     9.062E-011     0.000E+000     1.296E-004
    3.162E+00     1.934E-011     0.000E+000     4.964E-005
    1.212E+00     2.800E-012     0.000E+000     1.902E-005
    4.642E-01     1.324E-014     0.000E+000     7.285E-006
    1.778E-01     7.818E-018     0.000E+000     2.791E-006
    6.813E-02     7.359E-019     0.000E+000     1.074E-006
    2.610E-02     7.674E-016     0.000E+000     4.258E-007
    1.000E-02     7.835E-015     0.000E+000     1.720E-007
    3.831E-03     1.571E-015     0.000E+000     6.861E-008
    1.468E-03     8.068E-017     0.000E+000     2.686E-008
    5.623E-04     2.496E-018     0.000E+000     1.039E-008
    2.154E-04     6.172E-019     0.000E+000     3.994E-009
    8.254E-05     1.632E-019     0.000E+000     1.532E-009
    3.162E-05     1.993E-020     0.000E+000     5.869E-010
    1.212E-05     1.250E-021     0.000E+000     2.247E-010
    4.642E-06     6.255E-023     0.000E+000     8.596E-011
    1.778E-06     2.644E-024     0.000E+000     3.285E-011
    6.813E-07     9.128E-026     0.000E+000     1.253E-011
    2.610E-07     2.098E-027     0.000E+000     4.771E-012
    1.000E-07     1.671E-032     0.000E+000     1.809E-012
