#            P[bar]       dens[g/cm^3]                 xn                   TiO2                     VO                  Al2O3                   SiO2            Mg1.2SiO3.2                    H2O                     Fe                    FeS                      C                    SiC                    MgO          r[micron]               T[K]              Jstar
     1.0000000E+003     1.5713266E-002     0.0000000E+000         1.0000000E-200         1.0000000E-200         1.0000000E-200         0.0000000E+000         1.6707975E-200         0.0000000E+000         1.0000000E-200         0.0000000E+000         0.0000000E+000         0.0000000E+000         3.2920247E-201     1.0000000E-007     1.7862732E+003     2.6491813E-013
     9.0851758E+002     1.4275684E-002     6.9496510E-026         5.4568095E-007         4.3678681E-008         1.1014811E-005         0.0000000E+000         2.4903631E-004         0.0000000E+000         1.3537162E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.3023070E-005     1.2860946E+000     1.7862649E+003     3.3975145E-013
     8.2540419E+002     1.2969624E-002     9.3513470E-026         6.0006043E-007         4.8031451E-008         1.2112485E-005         0.0000000E+000         2.7385386E-004         0.0000000E+000         1.4886173E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.5317414E-005     1.2032940E+000     1.7862566E+003     4.3496765E-013
     7.4989421E+002     1.1783053E-002     1.3004047E-025         6.1228585E-007         4.9010028E-008         1.2359261E-005         0.0000000E+000         2.7943327E-004         0.0000000E+000         1.5189422E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.5833217E-005     1.0857041E+000     1.7862484E+003     5.5590250E-013
     6.8129207E+002     1.0705040E-002     1.8535549E-025         6.1220500E-007         4.9003556E-008         1.2357629E-005         0.0000000E+000         2.7939637E-004         0.0000000E+000         1.5187372E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.5829799E-005     9.6543966E-001     1.7862401E+003     7.0922870E-013
     6.1896582E+002     9.7256530E-003     2.6864606E-025         6.0579029E-007         4.8490095E-008         1.2228145E-005         0.0000000E+000         2.7646885E-004         0.0000000E+000         1.5028193E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.5559146E-005     8.5161979E-001     1.7862318E+003     9.0327501E-013
     5.6234133E+002     8.8358682E-003     3.9552297E-025         5.9321788E-007         4.7483744E-008         1.1974365E-005         0.0000000E+000         2.7073109E-004         0.0000000E+000         1.4716260E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.5028692E-005     7.4571464E-001     1.7862235E+003     1.1484173E-012
     5.1089698E+002     8.0274885E-003     5.9213976E-025         5.7380839E-007         4.5930124E-008         1.1582576E-005         0.0000000E+000         2.6187304E-004         0.0000000E+000         1.4234729E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.4209774E-005     6.4787573E-001     1.7862152E+003     1.4575566E-012
     4.6415888E+002     7.2930662E-003     9.0195567E-025         5.4687118E-007         4.3773953E-008         1.1038837E-005         0.0000000E+000         2.4957952E-004         0.0000000E+000         1.3566482E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.3073255E-005     5.5827530E-001     1.7862070E+003     1.8467035E-012
     4.2169650E+002     6.6258350E-003     1.3963966E-024         5.1189784E-007         4.0974533E-008         1.0332884E-005         0.0000000E+000         2.3361848E-004         0.0000000E+000         1.2698928E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.1597688E-005     4.7724013E-001     1.7861987E+003     2.3356886E-012
     3.8311868E+002     6.0196477E-003     2.1897509E-024         4.6883648E-007         3.7527714E-008         9.4636715E-006         0.0000000E+000         2.1396625E-004         0.0000000E+000         1.1630808E-004         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.9780888E-005     4.0521786E-001     1.7861904E+003     2.9490268E-012
     3.4807006E+002     5.4688626E-003     4.8352591E-024         3.5901860E-007         2.8737412E-008         7.2469485E-006         0.0000000E+000         1.6384785E-004         0.0000000E+000         8.9070053E-005         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.5147596E-005     2.9636585E-001     1.7861872E+003     3.7156871E-012
     3.1622777E+002     4.9684732E-003     1.2046192E-023         2.4979393E-007         1.9994592E-008         5.0421996E-006         0.0000000E+000         1.1400017E-004         0.0000000E+000         6.1982018E-005         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.0539376E-005     2.0599090E-001     1.7861840E+003     4.6735358E-012
     2.8729848E+002     4.5138684E-003     3.1287109E-023         1.5888126E-007         1.2717545E-008         3.2070865E-006         0.0000000E+000         7.2509670E-005         0.0000000E+000         3.9436107E-005         0.0000000E+000         0.0000000E+000         0.0000000E+000         6.7037543E-006     1.3878545E-001     1.7861808E+003     5.8681070E-012
     2.6101572E+002     4.1008589E-003     7.9998079E-023         9.6783806E-008         7.7469935E-009         1.9536217E-006         0.0000000E+000         4.4169796E-005         0.0000000E+000         2.4034388E-005         0.0000000E+000         0.0000000E+000         0.0000000E+000         4.0838237E-006     9.2599436E-002     1.7861776E+003     7.3552340E-012
     2.3713737E+002     3.7256390E-003     1.9389991E-022         6.0829872E-008         4.8690843E-009         1.2278758E-006         0.0000000E+000         2.7761249E-005         0.0000000E+000         1.5113678E-005         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.5668548E-006     6.2621607E-002     1.7861745E+003     9.2032448E-012
     2.1544347E+002     3.3847508E-003     4.3787655E-022         4.1152972E-008         3.2940601E-009         8.3068917E-007         0.0000000E+000         1.8781180E-005         0.0000000E+000         1.0228581E-005         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.7366012E-006     4.3562573E-002     1.7861713E+003     1.1495596E-011
     1.9573418E+002     3.0750533E-003     9.1936985E-022         2.9945194E-008         2.3969414E-009         6.0445560E-007         0.0000000E+000         1.3666227E-005         0.0000000E+000         7.4440005E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.2636645E-006     3.1304617E-002     1.7861681E+003     1.4334020E-011
     1.7782794E+002     2.7936924E-003     1.8059884E-021         2.3075404E-008         1.8470541E-009         4.6578622E-007         0.0000000E+000         1.0531032E-005         0.0000000E+000         5.7357459E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         9.7375630E-007     2.3197882E-002     1.7861649E+003     1.7842287E-011
     1.6155981E+002     2.5380754E-003     3.3499866E-021         1.8563526E-008         1.4859044E-009         3.7471233E-007         0.0000000E+000         8.4719333E-006         0.0000000E+000         4.6126171E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         7.8333448E-007     1.7656235E-002     1.7861617E+003     2.2170683E-011
     1.4677993E+002     2.3058468E-003     5.9219905E-021         1.5427654E-008         1.2348961E-009         3.1141370E-007         0.0000000E+000         7.0408118E-006         0.0000000E+000         3.8308530E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         6.5096826E-007     1.3742887E-002     1.7861585E+003     2.7501327E-011
     1.3335214E+002     2.0948295E-003     1.0072412E-020         1.3140436E-008         1.0518179E-009         2.6524558E-007         0.0000000E+000         5.9969984E-006         0.0000000E+000         3.2594262E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         5.5440477E-007     1.0889643E-002     1.7861573E+003     3.4053795E-011
     1.2115277E+002     1.9031233E-003     1.6559159E-020         1.1416949E-008         9.1386316E-010         2.3045663E-007         0.0000000E+000         5.2104604E-006         0.0000000E+000         2.8274578E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         4.8161942E-007     8.7639304E-003     1.7861561E+003     4.2094311E-011
     1.1006942E+002     1.7289608E-003     2.6449713E-020         1.0078732E-008         8.0674726E-010         2.0344459E-007         0.0000000E+000         4.5997542E-006         0.0000000E+000         2.4904848E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         4.2507958E-007     7.1458024E-003     1.7861548E+003     5.1943033E-011
     1.0000000E+002     1.5707367E-003     4.1214323E-020         9.0136053E-009         7.2149086E-010         1.8194509E-007         0.0000000E+000         4.1136844E-006         0.0000000E+000         2.2204844E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         3.8004885E-007     5.8914710E-003     1.7861536E+003     6.3984860E-011
     9.0851758E+001     1.4269923E-003     6.2852915E-020         8.1480537E-009         6.5220948E-010         1.6447419E-007         0.0000000E+000         3.7187016E-006         0.0000000E+000         1.9990159E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         3.4342175E-007     4.9039977E-003     1.7861524E+003     7.8681596E-011
     8.2540419E+001     1.2964025E-003     9.4055449E-020         7.4321688E-009         5.9490830E-010         1.5002450E-007         0.0000000E+000         3.3920299E-006         0.0000000E+000         1.8134807E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         3.1308831E-007     4.1162145E-003     1.7861512E+003     9.6586207E-011
     7.4989421E+001     1.1777635E-003     1.3840300E-019         6.8310332E-009         5.4679242E-010         1.3789124E-007         0.0000000E+000         3.1177357E-006         0.0000000E+000         1.6549826E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.8757026E-007     3.4804525E-003     1.7861499E+003     1.1835949E-010
     6.8129207E+001     1.0699816E-003     2.0061799E-019         6.3195764E-009         5.0585516E-010         1.2756837E-007         0.0000000E+000         2.8843791E-006         0.0000000E+000         1.5170534E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.6580385E-007     2.9621670E-003     1.7861487E+003     1.4478950E-010
     6.1896582E+001     9.7206331E-004     2.8687324E-019         5.8793880E-009         4.7062295E-010         1.1868431E-007         0.0000000E+000         2.6835606E-006         0.0000000E+000         1.3948681E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.4700515E-007     2.5358613E-003     1.7861475E+003     1.7681417E-010
     5.6234133E+001     8.8310590E-004     4.0517088E-019         5.4966799E-009         4.3999222E-010         1.1096081E-007         0.0000000E+000         2.5089903E-006         0.0000000E+000         1.2847497E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.3058373E-007     2.1824113E-003     1.7861462E+003     2.1554755E-010
     5.1089698E+001     8.0229265E-004     5.6645003E-019         5.1598347E-009         4.1303317E-010         1.0416342E-007         0.0000000E+000         2.3553699E-006         0.0000000E+000         1.1835633E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.1603858E-007     1.8863362E-003     1.7861458E+003     2.6231060E-010
     4.6415888E+001     7.2887465E-004     7.8360309E-019         4.8621716E-009         3.8921119E-010         9.8157368E-008         0.0000000E+000         2.2196546E-006         0.0000000E+000         1.0894558E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         2.0307503E-007     1.6376768E-003     1.7861453E+003     3.1866519E-010
     4.2169650E+001     6.6217515E-004     1.0734726E-018         4.5972231E-009         3.6800875E-010         9.2812195E-008         0.0000000E+000         2.0988980E-006         0.0000000E+000         1.0006971E-006         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.9140444E-007     1.4275841E-003     1.7861448E+003     3.8645544E-010
     3.8311868E+001     6.0157933E-004     1.4572799E-018         4.3598569E-009         3.4901525E-010         8.8024421E-008         0.0000000E+000         1.9907641E-006         0.0000000E+000         9.1600180E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.8079111E-007     1.2491141E-003     1.7861443E+003     4.6785388E-010
     3.4807006E+001     5.4652866E-004     1.9615864E-018         4.1459499E-009         3.3190091E-010         8.3710961E-008         0.0000000E+000         1.8933791E-006         0.0000000E+000         8.3448785E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.7103774E-007     1.0967604E-003     1.7861439E+003     5.6541466E-010
     3.1622777E+001     4.9651568E-004     2.6194241E-018         3.9521505E-009         3.1639777E-010         7.9804337E-008         0.0000000E+000         1.8052229E-006         0.0000000E+000         7.5565180E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.6197457E-007     9.6611772E-004     1.7861434E+003     6.8213433E-010
     2.8729848E+001     4.5107941E-004     3.4716153E-018         3.7757034E-009         3.0228565E-010         7.6249146E-008         0.0000000E+000         1.7250497E-006         0.0000000E+000         6.7934581E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.5345103E-007     8.5363279E-004     1.7861429E+003     8.2152119E-010
     2.6101572E+001     4.0980102E-004     4.5683036E-018         3.6143168E-009         2.8938156E-010         7.2999384E-008         0.0000000E+000         1.6518278E-006         0.0000000E+000         6.0574058E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.4532912E-007     7.5641842E-004     1.7861425E+003     9.8767406E-010
     2.3713737E+001     3.7230002E-004     5.9707200E-018         3.4660608E-009         2.7753160E-010         7.0016413E-008         0.0000000E+000         1.5846939E-006         0.0000000E+000         5.3526402E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.3747816E-007     6.7211184E-004     1.7861420E+003     1.1853717E-009
     2.1544347E+001     3.3823075E-004     7.7532064E-018         3.3292894E-009         2.6660467E-010         6.7267386E-008         0.0000000E+000         1.5229176E-006         0.0000000E+000         4.6851249E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.2977061E-007     5.9876607E-004     1.7861415E+003     1.4201737E-009
     1.9573418E+001     3.0728457E-004     1.0014296E-017         3.2021557E-009         2.5645376E-010         6.4715490E-008         0.0000000E+000         1.4656818E-006         0.0000000E+000         4.0602941E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.2205854E-007     5.3456243E-004     1.7861413E+003     1.6985602E-009
     1.7782794E+001     2.7916978E-004     1.2856769E-017         3.0839279E-009         2.4702124E-010         6.2346487E-008         0.0000000E+000         1.4126823E-006         0.0000000E+000         3.4855498E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.1423444E-007     4.7841549E-004     1.7861411E+003     2.0279930E-009
     1.6155981E+001     2.5362734E-004     1.6410778E-017         2.9734765E-009         2.3821782E-010         6.0138214E-008         0.0000000E+000         1.3634390E-006         0.0000000E+000         2.9653948E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.0616328E-007     4.2917331E-004     1.7861410E+003     2.4171186E-009
