#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 5.9937485E+009   -4.6603E+008    2.3450E-002  6.0501E+021  1197.157 1.000E+003   339.688     2.334
 6.0798818E+009   -3.7989E+008    9.8888E-003  2.5513E+021  1087.639 3.831E+002   331.064     2.334
 6.1888971E+009   -2.7088E+008    4.1701E-003  1.0759E+021   988.139 1.468E+002   319.873     2.334
 6.2912764E+009   -1.6850E+008    1.7585E-003  4.5370E+020   897.741 5.623E+001   309.693     2.334
 6.3872294E+009   -7.2547E+007    7.4155E-004  1.9132E+020   815.614 2.154E+001   300.516     2.334
 6.4769622E+009    1.7186E+007    3.1271E-004  8.0680E+019   741.000 8.254E+000   292.269     2.334
 6.5606949E+009    1.0092E+008    1.3187E-004  3.4022E+019   673.211 3.162E+000   284.865     2.334
 6.6386644E+009    1.7889E+008    5.5608E-005  1.4347E+019   611.624 1.212E+000   278.217     2.334
 6.7111230E+009    2.5135E+008    2.3450E-005  6.0501E+018   555.671 4.642E-001   272.243     2.334
 6.7783347E+009    3.1856E+008    9.8887E-006  2.5513E+018   504.837 1.778E-001   266.871     2.334
 6.8405714E+009    3.8079E+008    4.1701E-006  1.0759E+018   458.653 6.813E-002   262.038     2.334
 6.8981088E+009    4.3833E+008    1.7585E-006  4.5370E+017   416.695 2.610E-002   257.685     2.334
 6.9512227E+009    4.9145E+008    7.4157E-007  1.9132E+017   378.574 1.000E-002   253.762     2.334
 7.0001861E+009    5.4041E+008    3.1272E-007  8.0680E+016   343.941 3.831E-003   250.224     2.334
 7.0452666E+009    5.8549E+008    1.3187E-007  3.4022E+016   312.477 1.468E-003   247.032     2.334
 7.0867240E+009    6.2695E+008    5.5610E-008  1.4347E+016   283.891 5.623E-004   244.150     2.334
 7.1248088E+009    6.6503E+008    2.3450E-008  6.0501E+015   257.920 2.154E-004   241.547     2.334
 7.1597613E+009    6.9998E+008    9.8890E-009  2.5513E+015   234.325 8.254E-005   239.195     2.334
 7.1918105E+009    7.3203E+008    4.1701E-009  1.0759E+015   212.888 3.162E-005   237.068     2.334
 7.2211734E+009    7.6140E+008    1.7585E-009  4.5370E+014   193.413 1.212E-005   235.143     2.334
 7.2480552E+009    7.8828E+008    7.4157E-010  1.9132E+014   175.719 4.642E-006   233.403     2.334
 7.2726486E+009    8.1287E+008    3.1272E-010  8.0680E+013   159.644 1.778E-006   231.827     2.334
 7.2951345E+009    8.3536E+008    1.3187E-010  3.4022E+013   145.039 6.813E-007   230.400     2.334
 7.3156817E+009    8.5591E+008    5.5610E-011  1.4347E+013   131.770 2.610E-007   229.107     2.334
 7.3299684E+009    8.7019E+008    2.3450E-011  6.0501E+012   119.716 1.000E-007   228.215     2.334
