#    T [K]      P [bar]     H2O            CO2            CO             CH4            NH3            H2             He             SiO            Na             K         
  1786.273   1.000E+003    8.0105E-004    6.4170E-010    2.5683E-006    4.5773E-004    8.8622E-005    8.5290E-001    1.4552E-001    2.2453E-005    2.3959E-006    1.4345E-007
  1786.190   3.831E+002    6.5221E-004    2.8199E-009    1.3866E-005    4.4631E-004    5.2128E-005    8.5321E-001    1.4552E-001    5.2310E-006    2.5844E-006    1.5580E-007
  1786.159   1.468E+002    5.7682E-004    1.3033E-008    7.2471E-005    3.8741E-004    2.3988E-005    8.5333E-001    1.4550E-001    1.6681E-010    2.7168E-006    1.6471E-007
  1786.146   5.623E+001    4.2688E-004    2.9668E-008    2.2296E-004    2.3657E-004    9.8694E-006    8.5352E-001    1.4546E-001    1.7010E-010    2.8073E-006    1.7113E-007
  1786.142   2.154E+001    2.7906E-004    3.2267E-008    3.7102E-004    8.8451E-005    3.8871E-006    8.5370E-001    1.4541E-001    1.6533E-010    2.8663E-006    1.7525E-007
  1786.140   8.254E+000    2.1085E-004    2.8865E-008    4.3930E-004    2.0349E-005    1.5055E-006    8.5375E-001    1.4539E-001    1.6038E-010    2.9039E-006    1.7766E-007
  1786.139   3.162E+000    1.9374E-004    2.7560E-008    4.5644E-004    3.3769E-006    5.7920E-007    8.5371E-001    1.4538E-001    5.2249E-010    2.9275E-006    1.7891E-007
  1786.139   1.212E+000    1.9081E-004    2.7321E-008    4.5938E-004    5.0635E-007    2.2221E-007    8.5362E-001    1.4537E-001    2.8310E-009    2.9423E-006    1.7928E-007
  1786.139   4.642E-001    1.9036E-004    2.7286E-008    4.5981E-004    7.4530E-008    8.5157E-008    8.5347E-001    1.4536E-001    1.1572E-008    2.9514E-006    1.7882E-007
  1786.081   1.778E-001    1.9026E-004    2.7283E-008    4.5983E-004    1.0941E-008    3.2621E-008    8.5323E-001    1.4534E-001    1.1932E-008    2.9567E-006    1.7741E-007
  1776.923   6.813E-002    1.9022E-004    2.7550E-008    4.5976E-004    1.7368E-009    1.2738E-008    8.5291E-001    1.4531E-001    1.2002E-008    2.9595E-006    1.7530E-007
  1717.827   2.610E-002    1.9022E-004    2.9434E-008    4.5977E-004    4.3420E-010    5.5644E-009    8.5295E-001    1.4532E-001    1.1963E-008    2.9617E-006    1.7566E-007
  1629.757   1.000E-002    1.9025E-004    3.2849E-008    4.5984E-004    1.5162E-010    2.6405E-009    8.5324E-001    1.4534E-001    1.0564E-008    2.9632E-006    1.7770E-007
  1565.189   3.831E-003    1.9025E-004    3.5947E-008    4.5987E-004    4.4694E-011    1.2017E-009    8.5336E-001    1.4535E-001    4.7299E-009    2.9640E-006    1.7853E-007
  1531.853   1.468E-003    1.9024E-004    3.7798E-008    4.5985E-004    9.6174E-012    5.0598E-010    8.5330E-001    1.4534E-001    4.4358E-009    2.9645E-006    1.7816E-007
  1517.308   5.623E-004    1.9021E-004    3.8668E-008    4.5980E-004    1.6758E-012    2.0220E-010    8.5309E-001    1.4533E-001    4.5753E-009    2.9648E-006    1.7672E-007
  1511.414   2.154E-004    1.9016E-004    3.9031E-008    4.5970E-004    2.6366E-013    7.8778E-011    8.5270E-001    1.4530E-001    4.6382E-009    2.9646E-006    1.7388E-007
  1509.097   8.254E-005    1.9007E-004    3.9174E-008    4.5953E-004    3.9706E-014    3.0352E-011    8.5202E-001    1.4524E-001    4.7124E-009    2.9637E-006    1.6907E-007
  1508.198   3.162E-005    1.8993E-004    3.9229E-008    4.5926E-004    5.8698E-015    1.1635E-011    8.5092E-001    1.4516E-001    4.7890E-009    2.9618E-006    1.6139E-007
  1507.850   1.212E-005    1.8970E-004    3.9249E-008    4.5881E-004    8.5994E-016    4.4461E-012    8.4913E-001    1.4501E-001    4.8819E-009    2.9585E-006    1.4964E-007
  1507.716   4.642E-006    1.8935E-004    3.9255E-008    4.5809E-004    1.2518E-016    1.6941E-012    8.4623E-001    1.4479E-001    4.9715E-009    2.9529E-006    1.3250E-007
  1507.664   1.778E-006    1.8879E-004    3.9261E-008    4.5693E-004    1.8090E-017    6.4303E-013    8.4156E-001    1.4442E-001    5.0302E-009    2.9437E-006    1.0924E-007
  1507.644   6.813E-007    1.8793E-004    3.9273E-008    4.5508E-004    2.5869E-018    2.4261E-013    8.3408E-001    1.4383E-001    5.0515E-009    2.9282E-006    8.1055E-008
  1507.636   2.610E-007    1.8658E-004    3.9301E-008    4.5211E-004    3.6389E-019    9.0670E-014    8.2213E-001    1.4290E-001    5.0393E-009    2.9016E-006    5.2415E-008
  1507.633   1.000E-007    1.8446E-004    3.9358E-008    4.4741E-004    4.9853E-020    3.3370E-014    8.0318E-001    1.4141E-001    4.9961E-009    2.8555E-006    2.9465E-008
