#  lambda [mu]  total average tau
    0.250832      0.3397752E+04
    0.252504      0.3333460E+04
    0.254188      0.3271426E+04
    0.255882      0.3211578E+04
    0.257588      0.3153844E+04
    0.259305      0.3098157E+04
    0.261034      0.3044451E+04
    0.262774      0.2992663E+04
    0.264526      0.2942732E+04
    0.266290      0.2894599E+04
    0.268065      0.2848208E+04
    0.269852      0.2803503E+04
    0.271651      0.2760431E+04
    0.273462      0.2718943E+04
    0.275285      0.2678987E+04
    0.277120      0.2640518E+04
    0.278968      0.2603488E+04
    0.280827      0.2567855E+04
    0.282700      0.2533574E+04
    0.284584      0.2500605E+04
    0.286482      0.2468907E+04
    0.288391      0.2438443E+04
    0.290314      0.2409176E+04
    0.292249      0.2381068E+04
    0.294198      0.2354086E+04
    0.296159      0.2328195E+04
    0.298133      0.2303365E+04
    0.300121      0.2279563E+04
    0.302122      0.3693861E+04
    0.304136      0.3792994E+04
    0.306164      0.3950409E+04
    0.308205      0.4212449E+04
    0.310259      0.4591940E+04
    0.312328      0.5139451E+04
    0.314410      0.5945738E+04
    0.316506      0.7193713E+04
    0.318616      0.9232786E+04
    0.320740      0.1287265E+05
    0.322878      0.2032585E+05
    0.325031      0.3955561E+05
    0.327198      0.1261855E+06
    0.329379      0.9587520E+07
    0.331575      0.4889953E+07
    0.333785      0.1020287E+06
    0.336011      0.3649174E+05
    0.338251      0.1957972E+05
    0.340506      0.1271309E+05
    0.342776      0.9202583E+04
    0.345061      0.7178266E+04
    0.347361      0.5902571E+04
    0.349677      0.5045423E+04
    0.352008      0.4440917E+04
    0.354355      0.4000703E+04
    0.356717      0.3666174E+04
    0.359096      0.3406344E+04
    0.361490      0.3200868E+04
    0.363899      0.3035482E+04
    0.366325      0.2900363E+04
    0.368768      0.2789258E+04
    0.371226      0.2695773E+04
    0.373701      0.2616599E+04
    0.376192      0.2549179E+04
    0.378700      0.2491361E+04
    0.381225      0.2441487E+04
    0.383766      0.2398536E+04
    0.386325      0.2357136E+04
    0.388900      0.1976143E+04
    0.391493      0.1913211E+04
    0.394103      0.1914160E+04
    0.396730      0.1915468E+04
    0.399375      0.1917086E+04
    0.402038      0.1919020E+04
    0.404718      0.1921268E+04
    0.407416      0.1923828E+04
    0.410132      0.1926728E+04
    0.412866      0.1932134E+04
    0.415619      0.1938694E+04
    0.418390      0.1942598E+04
    0.421179      0.1946685E+04
    0.423987      0.1951507E+04
    0.426813      0.1960955E+04
    0.429659      0.1957181E+04
    0.432523      0.1970995E+04
    0.435407      0.1970282E+04
    0.438309      0.1998120E+04
    0.441231      0.1984125E+04
    0.444173      0.1984049E+04
    0.447134      0.1991127E+04
    0.450115      0.2034795E+04
    0.453116      0.2008074E+04
    0.456136      0.2011497E+04
    0.459177      0.2017063E+04
    0.462239      0.2024984E+04
    0.465320      0.2082687E+04
    0.468422      0.2065097E+04
    0.471545      0.2048963E+04
    0.474689      0.2067530E+04
    0.477853      0.3314320E+04
    0.481039      0.6013345E+04
    0.484246      0.9674854E+04
    0.487474      0.1479862E+05
    0.490724      0.2259577E+05
    0.493996      0.3318976E+05
    0.497289      0.4992110E+05
    0.500604      0.7863616E+05
    0.503941      0.1251739E+06
    0.507301      0.2252374E+06
    0.510683      0.4204479E+06
    0.514088      0.7202710E+06
    0.517515      0.1000311E+07
    0.520965      0.1121092E+07
    0.524438      0.1240693E+07
    0.527934      0.1449398E+07
    0.531454      0.1592243E+07
    0.534997      0.1835962E+07
    0.538564      0.2106947E+07
    0.542154      0.2459761E+07
    0.545768      0.2835419E+07
    0.549407      0.3340680E+07
    0.553070      0.3954913E+07
    0.556757      0.4644550E+07
    0.560468      0.5539022E+07
    0.564205      0.6715365E+07
    0.567966      0.8244796E+07
    0.571753      0.1085271E+08
    0.575564      0.1556361E+08
    0.579401      0.2240328E+08
    0.583264      0.4379199E+08
    0.587153      0.1024952E+10
    0.591067      0.9361575E+09
    0.595007      0.3651898E+08
    0.598974      0.1646377E+08
    0.602967      0.1053595E+08
    0.606987      0.7376328E+07
    0.611034      0.5715270E+07
    0.615107      0.4602539E+07
    0.619208      0.3735827E+07
    0.623336      0.3188255E+07
    0.627491      0.2721499E+07
    0.631675      0.2303122E+07
    0.635886      0.1954099E+07
    0.640125      0.1667417E+07
    0.644393      0.1446756E+07
    0.648689      0.1298441E+07
    0.653013      0.1149942E+07
    0.657367      0.9950750E+06
    0.661749      0.8774427E+06
    0.666161      0.7924636E+06
    0.670602      0.7106315E+06
    0.675072      0.6328925E+06
    0.679573      0.5659490E+06
    0.684103      0.5076335E+06
    0.688664      0.4590210E+06
    0.693255      0.4209559E+06
    0.697877      0.3820617E+06
    0.702529      0.3416594E+06
    0.707213      0.3072695E+06
    0.711928      0.2828607E+06
    0.716674      0.2594355E+06
    0.721452      0.2349872E+06
    0.726261      0.2116385E+06
    0.731103      0.1924539E+06
    0.735977      0.1946242E+06
    0.740884      0.3597384E+06
    0.745823      0.5145171E+06
    0.750795      0.7788053E+06
    0.755800      0.1553145E+07
    0.760839      0.6357935E+07
    0.765911      0.9106821E+08
